Date,Daily_Revenue,Daily_Profit,Daily_Cost,Daily_Units,Daily_Orders,Daily_Margin,Avg_Shipping
2010-01-01,3106079.84,1313985.7600000002,1792094.08,16950,2,42.02255767740012,37.0
2010-01-02,3676971.88,1660900.8200000003,2016071.06,18415,3,47.70363918187826,37.0
2010-01-03,6216876.57,2490905.89875,3672947.86,33270,7,43.49405913332358,20.571428571428573
2010-01-04,2297677.3200000003,1044593.0000000002,1253084.32,26066,6,49.43046265747913,20.333333333333332
2010-01-05,8674437.31875,2746001.9099999997,5604711.555,27574,5,36.80001332960444,27.8
2010-01-06,4324193.62,1380113.76875,2601215.75,11035,2,36.14243023589039,34.5
2010-01-07,6546266.24,1889429.1099999999,4373790.875,18101,4,32.01354992226608,21.75
2010-01-08,5188145.6,2103992.6,3084153.0,24695,5,37.131029148827075,21.8
2010-01-09,9963572.88875,3239500.31,6548944.975,33244,7,33.50272844902445,30.857142857142858
2010-01-10,967819.1400000001,448771.17000000004,519047.9700000001,6897,3,48.106491438954855,11.333333333333334
2010-01-11,4287712.54875,1319324.27875,2834294.975,19142,3,29.887118070907295,32.666666666666664
2010-01-12,2889485.2199999997,1098145.2600000002,1791339.96,14253,4,29.3909715318788,37.0
2010-01-13,4721882.18,1903590.0199999996,2818292.16,37120,5,36.303049203837034,10.0
2010-01-14,7398880.18875,2071786.6199999999,5068305.675,18630,3,29.387281916962703,46.333333333333336
2010-01-15,7217605.7299999995,1696109.63,5087690.975,30463,6,35.35238995731728,23.0
2010-01-16,1862406.98,509741.91000000003,1352665.0699999998,11556,2,27.730895993618162,28.0
2010-01-17,3723351.8099999996,618026.44,3032563.3449999997,10923,2,24.848227822466637,24.0
2010-01-18,3278168.6399999997,1306455.54,1971713.1,28740,5,41.04866445270393,13.2
2010-01-19,8632699.35,2461786.27,5750601.484999999,39754,8,32.74881666947824,25.875
2010-01-20,8227386.0600000005,2194581.0200000005,5844436.285,27110,8,35.934030349760995,21.875
2010-01-21,6348720.83875,1866438.7399999993,4114112.4050000003,14623,4,40.05253956672852,25.5
2010-01-22,6317525.48,2417871.5300000007,3899653.95,32886,6,36.67258459676871,28.0
2010-01-23,984180.37,189968.71,794211.66,11707,3,27.485421465674435,30.333333333333332
2010-01-24,8397709.27875,2076392.9087500002,5757712.9799999995,14950,3,21.257520980338644,16.666666666666668
2010-01-25,556264.52,194128.32,362136.2,6840,2,34.57079020613622,17.0
2010-01-26,4666260.33,1645133.8699999999,3021126.46,20435,4,34.89263046132424,23.5
2010-01-27,1776832.88,684979.49,1091853.39,14879,3,46.97767456268803,34.0
2010-01-28,3419263.3200000003,1314086.2600000002,2105177.06,19049,3,33.91268581378036,28.666666666666668
2010-01-29,10781614.828750001,3707240.6987499995,6621455.545,39268,8,38.391123820347296,24.875
2010-01-30,1700793.3900000001,588603.3600000002,1112190.03,13848,2,33.40017741584019,26.0
2010-01-31,1469707.9,844719.6199999999,624988.28,11341,3,45.87814466581627,34.333333333333336
2010-02-01,6533068.40875,2169785.63,4012920.175,22126,4,38.80750548980309,21.25
2010-02-02,3536863.2800000003,1387820.5,2149042.78,12868,4,37.47202651911436,29.25
2010-02-03,10905897.588750001,2803373.22,7708858.015,31610,7,27.291437273589533,25.571428571428573
2010-02-04,560491.76,134998.98,425492.78,3360,2,25.02446147115539,32.0
2010-02-05,1532343.11,380018.8899999999,1152324.22,2293,1,24.799856345489093,16.0
2010-02-06,1956740.28,731854.6799999999,1224885.5999999999,9219,4,34.963084244072,32.75
2010-02-07,4515761.61875,1537867.53875,2752875.4299999997,13622,2,49.015526547338126,19.0
2010-02-08,4195087.71,1333894.47875,2546148.3299999996,11715,2,31.259614880971988,42.0
2010-02-09,4395437.47,1618196.36,2777241.1100000003,39922,8,33.88910850476538,24.375
2010-02-10,2667129.15,913800.6299999999,1753328.52,15300,3,33.62353056830708,30.0
2010-02-11,7812704.69875,2270695.5300000003,4985101.5649999995,28993,6,34.64394490151286,22.333333333333332
2010-02-12,4949981.65875,1094197.6,3255446.455,15565,4,28.385195238730358,17.25
2010-02-13,764586.8999999999,329289.0299999999,435297.87,3717,1,43.06757413709285,0.0
2010-02-14,11182985.508750001,3624821.7487500003,7329458.49,46600,8,31.544566970066118,26.125
2010-02-15,6199013.79875,1828752.7599999998,4070145.935,17418,3,27.80620972007957,26.0
2010-02-16,4929991.99875,1540219.6300000001,3226259.7649999997,17368,3,31.16473149226057,36.333333333333336
2010-02-17,3231560.21,643385.48,2588174.73,11822,3,37.92157052885448,32.333333333333336
2010-02-18,2185959.71,790948.7500000001,1395010.96,24542,4,33.13078967307224,25.75
2010-02-19,307506.96,62226.72000000003,245280.24,4752,2,22.608820552746955,37.5
2010-02-20,244454.43,74954.46000000002,169499.97,2991,1,30.661935641747224,10.0
2010-02-21,881424.5,379608.15,501816.35,4285,1,43.067574137092855,14.0
2010-02-22,684618.53,234537.4200000001,450081.11,10449,2,34.57079020613624,5.0
2010-02-23,6899337.2787500005,1664512.5287500003,4950556.85,23216,5,25.34176377841205,35.6
2010-02-24,6036636.62,2217012.46875,3481454.54,23522,4,51.69584020424911,28.25
2010-02-25,3188963.1,1306165.02,1882798.08,22167,3,45.91919986888317,25.333333333333332
2010-02-26,11309823.2775,2939330.84,7748420.98,31659,6,29.065200363749824,19.333333333333332
2010-02-27,5289123.11875,1515353.73,3405353.035,15813,2,33.0553804857717,36.0
2010-02-28,3473667.46,861464.54,2612202.92,5198,1,24.7998563454891,14.0
2010-03-01,3146365.5599999996,1260300.4100000001,1886065.1500000001,10335,2,40.37326283209248,24.0
2010-03-02,5613835.98,1916780.48,3697055.5,28784,5,32.73411655536582,17.8
2010-03-03,51361.65,13267.050000000005,38094.6,5505,1,25.830653804930336,42.0
2010-03-04,5622085.98,2176616.25,3445469.7299999995,35362,5,36.035732439189886,31.6
2010-03-05,6035315.50875,1825738.53,3847599.375,24889,4,40.761822094987274,32.0
2010-03-06,7235168.84,2884865.69,4350303.15,32852,6,38.24164289019858,17.166666666666668
2010-03-07,2653031.9,657948.0999999999,1995083.8,3970,1,24.799856345489093,21.0
2010-03-08,5037052.17875,1135312.3,3398109.775,16793,3,24.745839622667905,21.333333333333332
2010-03-09,801145.7200000001,249126.16000000006,552019.56,11116,2,31.832548432043268,28.0
2010-03-10,5372459.69875,1401739.9499999995,3751375.5949999997,10841,3,27.763807695253245,25.666666666666668
2010-03-11,4334607.61,1409941.32,2924666.29,18002,4,33.78851907122163,25.0
2010-03-12,457476.8,197024.16,260452.64,2224,1,43.067574137092855,49.0
2010-03-13,3393010.05,1317470.95875,2049640.0,8340,3,35.72872077083397,25.0
2010-03-14,3274271.98,934696.04,2339575.94,7649,3,32.52400067143533,34.333333333333336
2010-03-15,5181596.86875,1799689.91,3169357.735,20678,3,43.04254838237583,27.666666666666668
2010-03-16,2965492.2199999997,987967.9,1977524.3200000003,9232,2,31.175390410287633,24.0
2010-03-17,6383982.43,1778660.31,4382307.8149999995,27041,5,40.07104255927021,22.2
2010-03-18,4991184.17,1068701.5899999999,3901916.325,11039,3,25.730001622797317,37.333333333333336
2010-03-19,8683296.06,2830800.3600000003,5852495.7,32548,5,34.596819672353234,17.2
2010-03-20,5120691.17875,1903916.91875,2873520.44,18298,3,46.336198104127874,26.0
2010-03-21,5524177.11,1861407.17875,3377282.93,16980,4,34.556750434362534,28.0
2010-03-22,5762604.53875,1844374.15875,3784137.085,22138,3,32.5426313390442,22.0
2010-03-23,1346946.58,551945.59,795000.9900000001,8743,1,40.97754121770738,14.0
2010-03-24,5293560.609999999,2101571.79,3191988.82,20478,5,36.9149232049823,28.4
2010-03-25,66410.94,17154.380000000005,49256.56,7118,1,25.830653804930336,24.0
2010-03-26,2695555.52,751053.8399999999,1944501.68,12184,2,27.26778883635375,18.5
2010-03-27,6608183.54,2308465.38,4299718.16,21965,4,34.42110935995868,27.75
2010-03-28,858612.96,577018.08,281594.88,7857,1,67.20351390922401,29.0
2010-03-29,4109588.8200000003,668153.1399999998,3026229.745,11797,2,24.848227822466633,33.0
2010-03-30,7331729.5,2130961.33,4680439.995,27585,6,42.824096307584284,35.333333333333336
